start|end|text|speaker
0.902|1.222| Hello.|SPEAKER_00
2.223|2.523|Hello.|SPEAKER_00
3.463|3.683|Yes.|SPEAKER_03
4.424|4.624|Yeah.|SPEAKER_00
4.664|5.024|Hi, sir.|SPEAKER_00
5.044|7.305|This is Darshini calling from GoFinance, sir.|SPEAKER_00
7.365|9.946|We are the channel partner of Commercial Bank of Dubai, sir.|SPEAKER_00
10.807|15.249|Sir, you already did for a CBD credit card process, right, sir?|SPEAKER_00
16.389|16.609|Yes.|SPEAKER_01
17.91|18.13|Yeah.|SPEAKER_00
18.19|18.53|Yes, sir.|SPEAKER_00
18.61|20.751|Now some of the policies are changed, sir.|SPEAKER_00
20.851|23.572|If you apply now, you will be get 100% sure, sir.|SPEAKER_00
23.612|24.633|Can we process now, sir?|SPEAKER_00
25.802|27.764| But I applied two, three days ago.|SPEAKER_03
27.824|30.887|Again, it says that I don't meet the criteria.|SPEAKER_03
32.828|33.389|OK.|SPEAKER_00
33.869|37.252|Your last three months salary is crediting to you properly, sir?|SPEAKER_00
39.975|40.996|In ADCB, yes.|SPEAKER_02
42.297|43.137|Yeah, yes.|SPEAKER_00
43.298|43.898|OK.|SPEAKER_00
45.099|47.121|How many credit cards are you already having, sir?|SPEAKER_00
47.161|48.082|Credit card and loan?|SPEAKER_00
50.996|53.039| Can we speak later because I'm in a meeting now.|SPEAKER_02
53.119|54.081|I cannot speak now.|SPEAKER_02
54.121|54.502|Yeah, okay, sir.|SPEAKER_00
54.622|55.804|I will just WhatsApp you, sir.|SPEAKER_00
55.844|56.345|No problem.|SPEAKER_00
56.365|57.667|I'll just WhatsApp you.|SPEAKER_02
57.988|58.368|Okay, sir.|SPEAKER_00
58.408|58.669|Thank you.|SPEAKER_00
