0,index
"{'label': 'POSITIVE', 'score': 0.9913255572319031}",0
"{'label': 'POSITIVE', 'score': 0.9969931840896606}",1
"{'label': 'POSITIVE', 'score': 0.9981922507286072}",2
"{'label': 'NEGATIVE', 'score': 0.9878494143486023}",3
"{'label': 'POSITIVE', 'score': 0.9964147806167603}",4
"{'label': 'POSITIVE', 'score': 0.9690021276473999}",5
"{'label': 'POSITIVE', 'score': 0.9966402053833008}",6
"{'label': 'NEGATIVE', 'score': 0.8345189690589905}",7
"{'label': 'POSITIVE', 'score': 0.9981922507286072}",8
"{'label': 'NEGATIVE', 'score': 0.9878494143486023}",9
"{'label': 'POSITIVE', 'score': 0.9958694577217102}",10
"{'label': 'POSITIVE', 'score': 0.9712710976600647}",11
"{'label': 'POSITIVE', 'score': 0.9808542728424072}",12
"{'label': 'POSITIVE', 'score': 0.9897846579551697}",13
"{'label': 'NEGATIVE', 'score': 0.9946462512016296}",14
"{'label': 'NEGATIVE', 'score': 0.9994999170303345}",15
"{'label': 'NEGATIVE', 'score': 0.996907651424408}",16
"{'label': 'NEGATIVE', 'score': 0.9777182936668396}",17
"{'label': 'POSITIVE', 'score': 0.9945850968360901}",18
"{'label': 'POSITIVE', 'score': 0.9978188276290894}",19
"{'label': 'NEGATIVE', 'score': 0.996907651424408}",20
"{'label': 'NEGATIVE', 'score': 0.9964553117752075}",21
"{'label': 'NEGATIVE', 'score': 0.9775643944740295}",22
"{'label': 'NEGATIVE', 'score': 0.9746825098991394}",23
"{'label': 'NEGATIVE', 'score': 0.9994681477546692}",24
"{'label': 'NEGATIVE', 'score': 0.9870191812515259}",25
"{'label': 'NEGATIVE', 'score': 0.9817690849304199}",26
"{'label': 'POSITIVE', 'score': 0.9958736300468445}",27
"{'label': 'NEGATIVE', 'score': 0.9927054047584534}",28
"{'label': 'NEGATIVE', 'score': 0.9799184799194336}",29
"{'label': 'POSITIVE', 'score': 0.9987629652023315}",30
